size,status,wall_time_sec,avg_us,note
100,ok,0.01,800.0,
200,ok,0.01,5303.0,
500,ok,0.08,78156.0,
1000,ok,0.63,622921.0,
2000,ok,4.86,4856151.0,
3000,ok,16.57,16567491.0,
4000,ok,39.78,39776040.0,
5000,ok,76.78,76772161.0,
