timestamp,algorithm,structure,data_type,distribution,size,iterations,iteration_id,duration_us,min_us,avg_us,max_us
2026-05-12 01:54:50,cocktail,array,int,random,10000,50,25,244697,,,
2026-05-12 01:54:51,cocktail,array,int,random,10000,50,26,244962,,,
2026-05-12 01:54:51,cocktail,array,int,random,10000,50,27,245985,,,
2026-05-12 01:54:51,cocktail,array,int,random,10000,50,28,257057,,,
2026-05-12 01:54:51,cocktail,array,int,random,10000,50,29,254502,,,
2026-05-12 01:54:52,cocktail,array,int,random,10000,50,30,241773,,,
2026-05-12 01:54:52,cocktail,array,int,random,10000,50,31,240455,,,
2026-05-12 01:54:52,cocktail,array,int,random,10000,50,32,273389,,,
2026-05-12 01:54:52,cocktail,array,int,random,10000,50,33,240659,,,
2026-05-12 01:54:53,cocktail,array,int,random,10000,50,34,242900,,,
2026-05-12 01:54:53,cocktail,array,int,random,10000,50,35,239120,,,
2026-05-12 01:54:53,cocktail,array,int,random,10000,50,36,253260,,,
2026-05-12 01:54:53,cocktail,array,int,random,10000,50,37,242120,,,
2026-05-12 01:54:54,cocktail,array,int,random,10000,50,38,240041,,,
2026-05-12 01:54:54,cocktail,array,int,random,10000,50,39,243274,,,
2026-05-12 01:54:54,cocktail,array,int,random,10000,50,40,243228,,,
2026-05-12 01:54:54,cocktail,array,int,random,10000,50,41,242586,,,
2026-05-12 01:54:55,cocktail,array,int,random,10000,50,42,241892,,,
2026-05-12 01:54:55,cocktail,array,int,random,10000,50,43,239245,,,
2026-05-12 01:54:55,cocktail,array,int,random,10000,50,44,242933,,,
2026-05-12 01:54:55,cocktail,array,int,random,10000,50,45,248406,,,
2026-05-12 01:54:56,cocktail,array,int,random,10000,50,46,360004,,,
2026-05-12 01:54:56,cocktail,array,int,random,10000,50,47,252169,,,
2026-05-12 01:54:56,cocktail,array,int,random,10000,50,48,261983,,,
2026-05-12 01:54:56,cocktail,array,int,random,10000,50,49,251116,,,
2026-05-12 01:54:57,cocktail,array,int,random,10000,50,50,241346,,,
2026-05-12 01:54:58,cocktail,array,int,random,25000,50,1,1633990,,,
2026-05-12 01:55:00,cocktail,array,int,random,25000,50,2,1558139,,,
2026-05-12 01:55:01,cocktail,array,int,random,25000,50,3,1554399,,,
2026-05-12 01:55:03,cocktail,array,int,random,25000,50,4,1558328,,,
2026-05-12 01:55:05,cocktail,array,int,random,25000,50,5,1551965,,,
2026-05-12 01:55:06,cocktail,array,int,random,25000,50,6,1558110,,,
2026-05-12 01:55:08,cocktail,array,int,random,25000,50,7,1603756,,,
2026-05-12 01:55:09,cocktail,array,int,random,25000,50,8,1573133,,,
2026-05-12 01:55:11,cocktail,array,int,random,25000,50,9,1561249,,,
2026-05-12 01:55:12,cocktail,array,int,random,25000,50,10,1574481,,,
2026-05-12 01:55:14,cocktail,array,int,random,25000,50,11,1554911,,,
2026-05-12 01:55:15,cocktail,array,int,random,25000,50,12,1554132,,,
2026-05-12 01:55:17,cocktail,array,int,random,25000,50,13,1573965,,,
2026-05-12 01:55:19,cocktail,array,int,random,25000,50,14,1551675,,,
2026-05-12 01:55:20,cocktail,array,int,random,25000,50,15,1555451,,,
2026-05-12 01:55:22,cocktail,array,int,random,25000,50,16,1553257,,,
2026-05-12 01:55:23,cocktail,array,int,random,25000,50,17,1581246,,,
2026-05-12 01:55:25,cocktail,array,int,random,25000,50,18,1559156,,,
2026-05-12 01:55:26,cocktail,array,int,random,25000,50,19,1549371,,,
2026-05-12 01:55:28,cocktail,array,int,random,25000,50,20,1547699,,,
2026-05-12 01:55:30,cocktail,array,int,random,25000,50,21,1548191,,,
2026-05-12 01:55:31,cocktail,array,int,random,25000,50,22,1565416,,,
2026-05-12 01:55:33,cocktail,array,int,random,25000,50,23,1596686,,,
2026-05-12 01:55:34,cocktail,array,int,random,25000,50,24,1560224,,,
2026-05-12 01:55:36,cocktail,array,int,random,25000,50,25,1545113,,,
2026-05-12 01:55:37,cocktail,array,int,random,25000,50,26,1561555,,,
2026-05-12 01:55:39,cocktail,array,int,random,25000,50,27,1556584,,,
2026-05-12 01:55:41,cocktail,array,int,random,25000,50,28,1596617,,,
2026-05-12 01:55:42,cocktail,array,int,random,25000,50,29,1576260,,,
2026-05-12 01:55:44,cocktail,array,int,random,25000,50,30,1559735,,,
2026-05-12 01:55:45,cocktail,array,int,random,25000,50,31,1616431,,,
2026-05-12 01:55:47,cocktail,array,int,random,25000,50,32,1558055,,,
