timestamp,algorithm,structure,data_type,distribution,size,iterations,iteration_id,duration_us,min_us,avg_us,max_us,status
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,8,355688,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,9,348553,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,10,340032,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,11,340297,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,12,343866,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,13,342220,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,14,339804,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,15,344409,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,16,340859,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,17,339949,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,18,343519,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,19,340954,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,20,345322,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,21,340723,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,22,341434,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,23,342513,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,24,342096,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,25,345156,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,26,339345,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,27,343065,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,28,342547,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,29,347237,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,30,343354,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,31,344793,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,32,340689,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,33,343287,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,34,340987,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,35,341578,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,36,340392,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,37,342983,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,38,347774,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,39,343981,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,40,340775,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,41,338993,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,42,339452,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,43,340212,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,44,342829,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,45,343849,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,46,341924,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,47,341467,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,48,343137,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,49,343459,338993,343408.24,355688,OK
2026-05-11 17:30:14,cocktail,array,int,random,10000,50,50,340546,338993,343408.24,355688,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,1,2259532,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,2,2127303,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,3,2131568,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,4,2139415,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,5,2133769,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,6,2135687,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,7,2152675,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,8,2139803,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,9,2124606,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,10,2116194,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,11,2143876,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,12,2128283,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,13,2217584,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,14,2156639,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,15,2143260,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,16,2151263,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,17,2145888,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,18,2135189,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,19,2121595,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,20,2128888,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,21,2126996,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,22,2126600,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,23,2261989,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,24,2127146,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,25,2122806,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,26,2149149,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,27,2129773,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,28,2135882,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,29,2256103,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,30,2137972,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,31,2137838,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,32,2128658,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,33,2126853,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,34,2121392,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,35,2125017,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,36,2136479,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,37,2118252,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,38,2130128,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,39,2118517,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,40,2112926,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,41,2135663,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,42,2126745,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,43,2139824,2110682,2140555.40,2261989,OK
2026-05-11 17:32:01,cocktail,array,int,random,25000,50,44,2129211,2110682,2140555.40,2261989,OK
